episode,reward,epsilon
1,-269.4199999999997,0.19
2,-279.2799999999998,0.1805
3,-288.27999999999986,0.171475
4,-236.43000000000018,0.16290124999999997
5,-295.7200000000003,0.15475618749999998
6,-275.6899999999999,0.14701837812499996
7,-247.80000000000024,0.13966745921874996
8,-331.26,0.13268408625781244
9,-243.72999999999993,0.1260498819449218
10,-238.41000000000008,0.11974738784767572
11,-225.84999999999988,0.11376001845529193
12,-242.2200000000003,0.10807201753252733
13,-228.7400000000004,0.10266841665590096
14,-208.1799999999999,0.0975349958231059
15,-269.17000000000013,0.09265824603195061
16,-149.79999999999993,0.08802533373035308
17,-289.64000000000004,0.08362406704383542
18,-272.55000000000024,0.07944286369164365
19,-282.93000000000035,0.07547072050706147
20,-149.16000000000022,0.07169718448170839
21,-226.38000000000005,0.06811232525762297
22,-259.6200000000003,0.06470670899474182
23,-194.87999999999988,0.061471373545004725
24,-163.04999999999998,0.058397804867754484
25,-174.38000000000002,0.055477914624366756
26,-251.45999999999978,0.052704018893148415
27,-218.69000000000042,0.05006881794849099
28,-203.96000000000015,0.047565377051066435
29,-191.64000000000013,0.04518710819851311
30,-207.07000000000014,0.04292775278858745
31,-246.07999999999998,0.040781365149158075
32,-209.00000000000003,0.03874229689170017
33,-231.29000000000002,0.03680518204711516
34,-168.55999999999997,0.0349649229447594
35,-291.7099999999999,0.033216676797521424
36,-232.49000000000007,0.03155584295764535
37,-309.1099999999999,0.029978050809763082
38,-186.97,0.028479148269274928
39,-197.01000000000016,0.02705519085581118
40,-209.17999999999975,0.025702431313020618
41,-186.2000000000002,0.024417309747369585
42,-287.2200000000001,0.023196444260001104
43,-149.90000000000006,0.022036622047001048
44,-162.10000000000002,0.020934790944650995
45,-191.77000000000012,0.019888051397418442
46,-229.0399999999999,0.01889364882754752
47,-123.23999999999994,0.01794896638617014
48,-177.06000000000037,0.017051518066861632
49,-122.71000000000005,0.01619894216351855
50,-182.03999999999974,0.015388995055342622
